Brand,Brand_Short,Brand_Subtitle,Line,Title,Description,Subtitle_1,#Subtitle_1_Visible,Subtitle_2,#Subtitle_2_Visible,@Image,Oils
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Master Cleanse,A Conspiracy of Healers,"I met a Buddha. I climbed from a Lotus Flower Pond, up a hill, using the granite stepping stones, to his Pagoda. While I climbed, he showed me what looked like piano keys, black and white, floating connected in odd configurations in the sky above me. He told me, while pointing at them, that the black and white keys were all LOVE.",,,,,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Thieves.ai,"mimosa, palo santo, lotus and valerian root"
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Master Cleanse,Beauty and Truth,"Amidst the work of our daily practice we find moments of Bright, Light, Epiphanies, and Joy. Give these the full Power of Attention and they will grow and become a life's Work. Let these moments come and go easily, bless them and make room for more.",,,,,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Thieves.ai,"rose geranium, ylang ylang, and peppermint"
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Master Cleanse,Blue Star,"Having a Knowing, Faith and Belief in The Path aligns us with the Pure Force of Nature, The Voice of Spirit and moves us with the Power of our convictions. Be prepared to Stand your Ground.",,,,,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Thieves.ai,"sage, green oak moss, rosewood, rose geranium, and ho wood"
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Master Cleanse,Chaos Medicine,"Chaos Medicine is simply the Knowing that Chaos is the way of the Universe. When we attempt to box Chaos into our need for safety and presumed control of our Lives, we begin to cause disharmony and disease. Faith in the Process.",,,,,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Thieves.ai,"himalayan cedar, rosewood, balsam, black spruce, and myrrh"
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Master Cleanse,Community - Shaman 2.0,"Root, Heart, Crown. Spirit Communities evolve at different and sometimes inopportune times. When Open, these communities are a Blessing. Often these groups manifest in a sense of ""All at Once!"" They are an incredible Force of Healing. Spirit Groups build and Raise the World's Energy Exponentially, releasing the next level of Cultural Amnesia.",,,,,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Thieves.ai,"sage, green oak moss, rosewood, rose geranium"
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Master Cleanse,Emotional Body,"Many of us have learned to put away our bigger emotions for some future magical time when it will be easier to deal with them. Feel them. As time passes, the physical body shifts to carry the weight of this old energy. Leading to: sciatica (loss), stiffness (holding back), exhaustion (carrying the weight), inflammation (anger, grief). When we feel in the moment, it can be embarrassing and upsetting for others and that is OK.",,,,,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Thieves.ai,"ho wood, rosewood, rose geranium, and green oak moss"
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Master Cleanse,Hand of the Earth,"The Sacrum is the fulcrum of the physical body. Babies are first held here and behind the neck. We learn to feel safe and secure in this posture supported with a loved one's hand channeling love energy directly into our physical body. There are times where we could really use more support. Visualize the hand of the Earth cupping your sacrum, gently rocking and soothing. Be supported and healed.",,,,,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Thieves.ai,"bergamot, aniseed, pink peppercorn, rosalita, ginger, palmarosa, ho wood, and rose geranium"
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Master Cleanse,Heartbeat Meditation,"Hearing and counting the Heartbeat strengthens our connection to the Earth's Energy Frequency. This in turn exponentially builds intuition and empathy. This Practice releases the boundaries of Time and Space that box us into this one Timeline. As Humanity remembers, the Hundredth Monkey Effect  kicks in and we Open to the All One.",,,,,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Thieves.ai,"lemongrass, five fold orange, grapefruit, lemon verbena, patchouli, and rose"
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Master Cleanse,Hormonal Balance,"Hormonal imbalances, caused by even the smallest amount of stress and pressure, can lead to PMS, sleep disturbances, morning weepiness, low or non-existent libido, hot flashes and more. A decent sleep, a connection to our bodies' timetable, and the energy to live past our coping skills, we easily reset our systems and find the path to enjoy the adventure of LIFE. Hugs and Hang in there",,,,,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Thieves.ai,"melissa, lemongrass, litsea cubeba, clary sage, lavender, myrtle and rosemary"
Wild Woman Medicine Show,wwms,shaman infused aromatherapeutics,Master Cleanse,Love My Life,"This blend is a simple gift to ourselves for all of the work. You came here to live your Life in the best way you know how. We always receive what we give attention to. Choose to value your Life, Spirit, and Body before anything else. You are Strong and Able to accurately Choose how and where you offer yor Energy. Embrace Your Adventure.",,,,,file:///C:/Users/wildw/WWMS/Product Data/Assets/Traditional/Thieves.ai,frankincense and green coffee bean
