Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
large-essential-oil-diffuser,Large Essential Oil Diffuser,These large essential oil diffuser's are here for a limited time only!,Wild Woman Medicine Show,diffuser,,false,Title,Default Title,,,,,,250,shopify,12,deny,manual,38.99,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/products/image000002_20201203_162702.jpg?v=1607461377,1,,false,,,,,,,,,,,,,,,,,g,,,draft
medium-essential-oil-diffuser,Medium Essential Oil Diffuser,"<p>These wood grain diffuser's are available in wood, silver and gold.</p>",Wild Woman Medicine Show,diffuser,,false,Color,wood,,,,,,200,shopify,100,deny,manual,24.99,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/products/image000000_20201203_162702.jpg?v=1607461232,1,,false,,,,,,,,,,,,,,,,,g,,,draft
medium-essential-oil-diffuser,,,,,,,,gold,,,,,,200,shopify,100,deny,manual,24.99,,true,true,,,,,,,,,,,,,,,,,,,,,,g,,,
medium-essential-oil-diffuser,,,,,,,,silver,,,,,,200,shopify,100,deny,manual,24.99,,true,true,,,,,,,,,,,,,,,,,,,,,,g,,,
small-essential-oil-diffuser,Small Essential Oil Diffuser,"These beautiful diffuser's are available in blue, pink and white.",Wild Woman Medicine Show,diffuser,,false,Color,pink,,,,,,175,shopify,60,deny,manual,17.99,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/products/image000001_20201203_162702.jpg?v=1607460774,1,,false,,,,,,,,,,,,,,,,,g,,,draft
small-essential-oil-diffuser,,,,,,,,blue,,,,,,175,shopify,60,deny,manual,17.99,,true,true,,,,,,,,,,,,,,,,,,,,,,g,,,
small-essential-oil-diffuser,,,,,,,,white,,,,,,175,shopify,60,deny,manual,17.99,,true,true,,,,,,,,,,,,,,,,,,,,,,g,,,
spirit-soul-retrieval-life-balm,SPIRIT / SOUL RETRIEVAL - Life Balm,,Wild Woman Medicine Show,balm,,true,Size,60 ml,,,,,,0,,0,deny,manual,25,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/products/20200913_120904.jpg?v=1600055141,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/products/20200913_120904.jpg?v=1600055141,kg,,,active
spirit-soul-retrieval-life-balm,,,,,,,,120 ml,,,,,,0,,0,deny,manual,45,,true,true,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/products/20200913_120904.jpg?v=1600055141,kg,,,
mirror-life-balm,MIRROR - Life Balm,,Wild Woman Medicine Show,balm,,true,Size,60 ml,,,,,,0,,0,deny,manual,25,,true,true,,https://cdn.shopify.com/s/files/1/1773/1117/products/20200913_121312.jpg?v=1600054955,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1773/1117/products/20200913_121312.jpg?v=1600054955,kg,,,active
